Bahan,Lanmadaw,Yankin,South_Oakklar,Hlaing,Sanchoung,Condo_name,Total_Area_squft,Bedrooms,Bathrooms,Swimming_Pool,Security,Gym,Has_Elevator,Has_Parking,View_type,Price_USD,log_price
1,0,0,0,0,0,Peral Condo,1161.0,2,1,1.0,1.0,1.0,1,1,City View,100000.0,11.51293546492023
1,0,0,0,0,0,Peral Condo,1250.0,3,2,1.0,1.0,1.0,1,1,City View,122222.22,11.71360432403542
1,0,0,0,0,0,Peral Condo,1750.0,3,2,1.0,1.0,1.0,1,1,City View,155555.56,11.954764674371278
1,0,0,0,0,0,Peral Condo,1780.0,3,2,0.0,0.0,0.0,0,0,City View,144444.44,11.880657137379487
1,0,0,0,0,0,Peral Condo,1520.0,3,2,0.0,0.0,0.0,0,0,City View,144444.44,11.880657137379487
1,0,0,0,0,0,Peral Condo,1950.0,3,2,0.0,1.0,0.0,1,1,City View,166666.67,12.0237571087181
1,0,0,0,0,0,Peral Condo,1780.0,4,4,1.0,0.0,1.0,1,1,City View,188888.89,12.14891953167618
1,0,0,0,0,0,Peral Condo,500.0,1,1,0.0,1.0,0.0,1,1,City View,26666.67,10.191207249280106
1,0,0,0,0,0,Peral Condo,1000.0,2,2,0.0,1.0,0.0,1,1,City View,47777.78,10.774336886857704
1,0,0,0,0,0,Peral Condo,1250.0,2,2,0.0,1.0,0.0,1,1,City View,66666.67,11.107475406748813
1,0,0,0,0,0,Peral Condo,1250.0,2,2,1.0,1.0,1.0,1,1,City View,100000.0,11.51293546492023
1,0,0,0,0,0,Peral Condo,1725.0,3,2,0.0,0.0,0.0,0,0,City View,166666.67,12.0237571087181
1,0,0,0,0,0,Peral Condo,1432.0,2,3,0.0,1.0,0.0,0,1,City View,177777.78,12.0882952473579
1,0,0,0,0,0,Peral Condo,1780.0,3,2,1.0,1.0,1.0,1,1,City View,151111.11,11.925777290648284
1,0,0,0,0,0,Peral Condo (Building E),1780.0,3,2,0.0,1.0,0.0,0,1,City View,166666.67,12.0237571087181
1,0,0,0,0,0,Peral Condo (Tower A),1800.0,3,3,1.0,1.0,1.0,0,1,City View,143333.33,11.872935152465832
1,0,0,0,0,0,Peral Condo (Tower F),1333.0,3,2,0.0,1.0,0.0,1,1,City View,155555.56,11.954764674371278
1,0,0,0,0,0,Phoe Sein Condo,1500.0,3,2,0.0,0.0,0.0,1,1,City View,115555.56,11.65751538605125
1,0,0,0,0,0,Phoe Sein Condo,2850.0,3,3,0.0,1.0,0.0,1,1,City View,188888.89,12.14891953167618
1,0,0,0,0,0,Phoe Sein Condo,1750.0,3,2,0.0,1.0,0.0,1,1,City View,62222.22,11.038483520960828
1,0,0,0,0,0,Phoe Sein Condo,1900.0,3,2,0.0,1.0,0.0,1,1,City View,115555.56,11.65751538605125
1,0,0,0,0,0,Pike Lone st mini condo,972.0,1,1,0.0,1.0,0.0,1,1,City View,100000.0,11.51293546492023
1,0,0,0,0,0,Poe Sein Condo,1900.0,3,2,0.0,1.0,0.0,1,1,City View,115555.56,11.65751538605125
1,0,0,0,0,0,Royal Myanmar mini Condo,1020.0,2,2,0.0,0.0,0.0,1,0,City View,64444.44,11.07357425334292
1,0,0,0,0,0,Royal Phoe Sein Condo,8500.0,3,3,0.0,1.0,0.0,1,1,City View,188888.89,12.14891953167618
1,0,0,0,0,0,Royal Phoe Sein Condo,2860.0,3,4,0.0,0.0,0.0,0,0,City View,144444.44,11.880657137379487
1,0,0,0,0,0,Sakura Palace Condo,1370.0,3,2,0.0,1.0,0.0,1,1,City View,131111.11,11.783808037720673
1,0,0,0,0,0,Sevilla Residence Condo,1690.0,2,1,1.0,0.0,1.0,0,0,City View,351111.11,12.768860853159538
1,0,0,0,0,0,Shwe Gone Daing Tower Condo,1500.0,4,3,0.0,1.0,0.0,1,1,City View,110666.67,11.614287025454479
1,0,0,0,0,0,Shwe Gone Tai Tower Condo,1500.0,4,3,0.0,0.0,0.0,1,1,City View,110666.67,11.614287025454479
1,0,0,0,0,0,Shwe Gone Tai Tower Condo,1700.0,2,2,0.0,0.0,0.0,0,0,City View,117777.78,11.676563398149788
1,0,0,0,0,0,Shwe Gone Tower Condo,1500.0,4,3,0.0,0.0,0.0,0,1,City View,110000.0,11.608244735642321
1,0,0,0,0,0,Shwe Taung Gyar Condo,2100.0,3,3,0.0,1.0,0.0,0,1,City View,220000.0,12.301387370778713
1,0,0,0,0,0,Shwe Taung Gyar mini Condo,2000.0,2,1,0.0,0.0,0.0,0,0,City View,144444.44,11.880657137379487
1,0,0,0,0,0,Shwe Than Lwin Condo,3600.0,3,2,0.0,0.0,0.0,1,0,City View,300000.0,12.611541086966115
1,0,0,0,0,0,Shwe Yiek Mon Condo,1600.0,3,2,0.0,0.0,0.0,0,0,City View,333333.33,12.716901259291694
1,0,0,0,0,0,Shwe Yiek Mon Condo,1600.0,3,3,0.0,1.0,0.0,1,1,City View,333333.33,12.716901259291694
1,0,0,0,0,0,Tak Lann Mini Condo,1566.0,3,1,0.0,0.0,0.0,0,0,City View,132222.22,11.792246833941508
1,0,0,0,0,0,Tak Lann Mini Condo,1566.0,2,1,0.0,0.0,0.0,0,0,City View,102222.22,11.534914132510933
1,0,0,0,0,0,Tak Lann Mini Condo,1566.0,3,3,0.0,0.0,0.0,0,0,City View,97777.78,11.490462859065639
1,0,0,0,0,0,Taw  Win Myanmar mini Condi,1020.0,2,1,0.0,1.0,0.0,1,0,City View,77777.78,11.261623922320588
1,0,0,0,0,0,Thakatto Yiek Mon Condo,1250.0,3,2,0.0,1.0,0.0,1,1,City View,122222.22,11.71360432403542
1,0,0,0,0,0,Thakatto Yiek Mon Condo,1450.0,4,3,0.0,0.0,0.0,1,1,City View,133333.33,11.800615012394072
1,0,0,0,0,0,Thakatto Yiek Mon Condo,1480.0,4,3,0.0,1.0,0.0,1,1,City View,133333.33,11.800615012394072
1,0,0,0,0,0,Thakatto Yiek Thar Condo,1020.0,2,1,0.0,0.0,0.0,1,0,City View,77777.78,11.261623922320588
1,0,0,0,0,0,Thakatto Yiek Thar mini Condo,1190.0,1,1,0.0,1.0,0.0,1,0,City View,84444.44,11.343860924330484
1,0,0,0,0,0,Thakatto Yiek Thar mini Condo,3315.0,5,2,0.0,1.0,0.0,1,1,City View,311111.11,12.647908608518344
1,0,0,0,0,0,Thakatto Yiek Thar mini Condo,1080.0,2,1,0.0,0.0,0.0,1,1,City View,100000.0,11.51293546492023
1,0,0,0,0,0,Thakatto Yiek Thar mini Condo,1020.0,2,1,0.0,1.0,0.0,1,1,City View,93333.33,11.44394327199769
1,0,0,0,0,0,Thakatto Yiek Thar mini Condo,1200.0,2,2,0.0,1.0,0.0,1,0,City View,93333.33,11.44394327199769
1,0,0,0,0,0,Thakatto Yiek Thar mini Condo,2040.0,4,3,0.0,0.0,0.0,1,0,City View,120000.0,11.695255355062795
1,0,0,0,0,0,Thaketo Yiek Mon Condo,2850.0,3,2,0.0,1.0,0.0,1,1,City View,133333.33,11.800615012394072
1,0,0,0,0,0,The Vista Condo,1147.0,1,1,1.0,0.0,1.0,1,1,City View,193333.33,12.172176249013619
1,0,0,0,0,0,The Vista Condo,1100.0,2,3,0.0,0.0,0.0,0,0,City View,177777.78,12.0882952473579
1,0,0,0,0,0,The Vista Condo,1041.0,2,1,0.0,0.0,0.0,0,0,City View,277777.78,12.534580320495701
1,0,0,0,0,0,The Vista Condo,984.0,2,1,1.0,0.0,1.0,1,1,City View,76666.67,11.24723538610811
1,0,0,0,0,0,Thekatto Yiek Thar Condo,1755.0,2,1,0.0,0.0,0.0,1,0,City View,122222.22,11.71360432403542
1,0,0,0,0,0,Time Link Condo,1800.0,3,3,0.0,0.0,0.0,0,0,City View,266666.67,12.493758480474876
1,0,0,0,0,0,Time Link Condo,2062.0,3,3,0.0,1.0,0.0,0,0,City View,531866.67,13.184149996781203
1,0,0,0,0,0,Treasure Residence Condo,1765.0,3,1,1.0,1.0,1.0,1,1,City View,298088.89,12.60515036429735
1,0,0,0,0,0,Treasure Residence Condo,1733.0,3,3,1.0,1.0,1.0,1,1,City View,248888.89,12.424765868808342
1,0,0,0,0,0,Treasure Residence Condo,1733.0,3,2,1.0,1.0,1.0,1,1,City View,255555.56,12.451199033990218
1,0,0,0,0,0,Treasure Residence Condo,1730.0,3,1,0.0,0.0,0.0,0,0,City View,255555.56,12.451199033990218
1,0,0,0,0,0,U chit Mg Pagoda mini Condo,1360.0,3,2,0.0,1.0,0.0,1,1,City View,100000.0,11.51293546492023
1,0,0,0,0,0,University  Paradise Condo,1600.0,3,2,0.0,0.0,0.0,0,0,City View,144444.44,11.880657137379487
1,0,0,0,0,0,University  Paradise Condo,1600.0,3,2,0.0,1.0,0.0,0,1,City View,166666.67,12.0237571087181
1,0,0,0,0,0,War Yar Latt (3) lann Condo,972.0,2,2,0.0,0.0,0.0,1,0,City View,77777.78,11.261623922320588
