Bahan,Lanmadaw,Yankin,South Oakklar,Hlaing,Sanchoung,Condo name,Total_Area_squft,Bedrooms,Bathrooms,Swimming Pool,Security,Gym,Has_Elevator,Has_Parking,View_type, Price_USD 
1,0,0,0,0,0,Peral Condo,1750,3,2,0,0,0,0,1,City View,"$166,666.67 "
1,0,0,0,0,0,Peral Condo,1250,3,2,1,1,1,1,1,City View,"$100,000.00 "
1,0,0,0,0,0,Peral Condo,1251,3,2,1,1,1,1,1,City View,"$122,222.22 "
1,0,0,0,0,0,Peral Condo,1160,2,1,1,1,1,1,1,City View,"$106,666.67 "
1,0,0,0,0,0,Peral Condo,1161,2,1,1,1,1,1,1,City View,"$100,000.00 "
1,0,0,0,0,0,Peral Condo,1250,3,2,1,1,1,1,1,City View,"$122,222.22 "
1,0,0,0,0,0,Peral Condo,1750,3,2,1,1,1,1,1,City View,"$155,555.56 "
1,0,0,0,0,0,Peral Condo,1780,3,2,0,0,0,0,0,City View,"$144,444.44 "
1,0,0,0,0,0,Peral Condo,1520,3,2,0,0,0,0,0,City View,"$144,444.44 "
1,0,0,0,0,0,Peral Condo,1950,3,2,0,1,0,1,1,City View,"$166,666.67 "
1,0,0,0,0,0,Peral Condo,1780,4,4,1,0,1,1,1,City View,"$188,888.89 "
1,0,0,0,0,0,Peral Condo,500,1,1,0,1,0,1,1,City View,"$26,666.67 "
1,0,0,0,0,0,Peral Condo,1000,2,2,0,1,0,1,1,City View,"$47,777.78 "
1,0,0,0,0,0,Peral Condo,1250,2,2,0,1,0,1,1,City View,"$66,666.67 "
1,0,0,0,0,0,Peral Condo,1250,2,2,1,1,1,1,1,City View,"$100,000.00 "
1,0,0,0,0,0,Peral Condo,1725,3,2,0,0,0,0,0,City View,"$166,666.67 "
1,0,0,0,0,0,Peral Condo,1432,2,3,0,1,0,0,1,City View,"$177,777.78 "
1,0,0,0,0,0,Peral Condo ,1780,3,2,1,1,1,1,1,City View,"$151,111.11 "
1,0,0,0,0,0,Peral Condo (Building E),1780,3,2,0,1,0,0,1,City View,"$166,666.67 "
1,0,0,0,0,0,Peral Condo (Tower A),1800,3,3,1,1,1,0,1,City View,"$143,333.33 "
1,0,0,0,0,0,Peral Condo (Tower F),1333,3,2,0,1,0,1,1,City View,"$155,555.56 "
1,0,0,0,0,0,Phoe Sein Condo,1500,3,2,0,0,0,1,1,City View,"$115,555.56 "
